filter,category,name,description
Filtros,Intercambio de calor y humedad (HMEF),Filtro de intercambio de calor y humedad (HMEF) de baja filtración,Estos filtros son usados para prevenir la perdida de calor y de humedad en los sistemas de respiración. También están diseñados para prevenir la contaminación cruzada bacteriana y viral de los sistemas de respiración usados para pacientes con una enfermedad infecciosa.
Filtros,Intercambio de calor y humedad (HMEF),Filtro de intercambio de calor y humedad (HMEF) Alta filtración,Estos filtros son usados para prevenir la perdida de calor y de humedad en los sistemas de respiración. También están diseñados para prevenir la contaminación cruzada bacteriana y viral de los sistemas de respiración usados para pacientes con una enfermedad infecciosa. Estos filtros tienen un alto nivel de filtración.
Filtros,Intercambio de calor y humedad (HMEF),,
Filtros,Intercambio de calor y humedad (HMEF),,
Filtros,Intercambio de calor y humedad (HMEF),,
Filtros,Intercambio de calor y humedad (HMEF),,
Filtros,Bacterial/Viral (BVF),Filtro Bacterial/Viral (BVF),Estos filtros son utilizados para minimizar la penetración de partículas bacterianas y virales en cuidados intensivos y en anestesia.
Circuitos,Respiratorio,Circuito respiratorio expandible,
Circuitos,Respiratorio,Circuito respiratorio corrugado,
Circuitos,Respiratorio,Circuito respiratorio coaxial,
Circuitos,Respiratorio,Circuito respiratorio agujero liso,
Circuitos,Respiratorio,Circuito respiratorio con sifón de agua (2 orificios o sin orificio),
Circuitos,Respiratorio,Sistema de respiración con alambre calentador (simple / doble),
Circuitos,Infantil,Generador de flujo infantil (kit/circuito),
Circuitos,Respiratorio,Circuito de silicona con sifón,
Montajes,Montajes de cateter,Montaje de cateter,
Mascarillas,Anestesia,Mascarilla de anestesia de cojín suave,
Mascarillas,Anestesia,Mascarilla de anestesia sin PVC,
Mascarillas,Anestesia,Mascarilla de anestesia estándar,
Mascarillas,Anestesia,Mascarilla de silicona para anestesia tipo B,
Mascarillas,Anestesia,Mascarilla de silicona para anestesia tipo A,
Bolsas de respiración,Latex,Bolsa de respiración de látex,
Bolsas de respiración,Sin Latex,Bolsa de respiración sin látex,
Bolsas de respiración,Silicona,Bolsa de respiración de silicona,
Bolsas de respiración,Goma,Bolsa de respiración de goma,
Resucitadores,SEBS,Resucitador de SEBS,
Resucitadores,PVC,Resucitador de PVC,
Resucitadores,Silicona,Resucitador de silicona,
Resucitadores,Silicona,Resucitador de silicona líquida,
Mascarillas,CPAP,Mascarilla CPAP,
Mascarillas,CPR,Mascarilla CPR,
Mascarillas,Nasal,Mascarilla Nasal,
Conectores,Dos vías,Colector de 2 vías,
Conectores,Tres vías,Colector de 3 vías,
Conectores,Tres vías,Colector de 3 vías con puerto,
Mascarillas,Laríngea,Mascarilla laríngea desechable de PVC,
Mascarillas,Laríngea,Mascarilla laríngea desechable de silicona,
Mascarillas,Laríngea,Mascarilla laríngea de silicona reforzada,
Mascarillas,Laríngea,Vía respiratoria con mascarilla laríngea de vía delgada,
Mascarillas,Laríngea,Mascarilla laríngea de 2 vías,
Mascarillas,Laríngea,Set de laringoscopio de anestesia (75mm talla),
Vias respiratorias,Nasofaríngea,Vía respiratoria nasofaríngea,
Vias respiratorias,Guedel,Vías respiratorias Guedel,
Canulas,Traqueotomía,Cánula de traqueotomía con balón,
Tubos,Endotraqueal,Tubo endotraqueal con balón,
Tubos,Endotraqueal,Tubo endotraqueal reforzado con balón,
Tubos,Endotraqueal,Tubo endotraqueal sin balón,
Tubos,Endotraqueal,Tubo endotraqueal oral preformado,
Tubos,Endotraqueal,Tubo endotraqueal nasal preformado,
Tubos,Endobronquial,Tubo endobronquial (izquierda / derecha),
Mascarillas,Respiratoria,Máscara de traqueotomía,
Mascarillas,Respiratoria,Mascarilla de oxígeno simple,
Mascarillas,Respiratoria,Nebulizador con mascarilla de aerosol,
Mascarillas,Respiratoria,Non-rebreather con bolsa de depósito,
Mascarillas,Respiratoria,Mascarilla de ventilación múltiple,
Mascarillas,Respiratoria,Mascarilla con Venturi ajustable,
Atomizadores & Nebulizadores,Atomizador ,Taza atomizadora,
Atomizadores & Nebulizadores,Nebulizador,Nebulizador compresor,
Atomizadores & Nebulizadores,Nebulizador,Nebulizador con pieza de montaje,
Canulas,Oxigeno,Cánula nasal oxigeno,
Canulas,Oxigeno,Cánula CO2 oxigeno,
Humidificadores,Humidificador,Humidificador,
